number,language,strongs_def,derivation,translit,lemma,kjv_def,xlit,pron
G1757,G, to confer a benefit on,from G1722 (ἐν) and G2127 (εὐλογέω);,eneulogéō,ἐνευλογέω,bless,,
G3914,G," to winter near, i.e. stay with over the rainy season",from G3844 (παρά) and G5492 (χειμάζω);,paracheimázō,παραχειμάζω,winter,,
G653,G," to speak off-hand (properly, dictate), i.e. to catechize (in an invidious manner)",from G575 (ἀπό) and a (presumed) derivative of G4750 (στόμα);,apostomatízō,ἀποστοματίζω,provoke to speak,,
G285,G, sand (as heaped on the beach),perhaps from G260 (ἅμα);,ámmos,ἄμμος,sand,,
G1584,G, to be resplendent,from G1537 (ἐκ) and G2989 (λάμπω);,eklámpō,ἐκλάμπω,shine forth,,
G4,G," weightless, i.e. (figuratively) not burdensome",from G1 (Α) (as a negative particle) and G922 (βάρος);,abarḗs,ἀβαρής,from being burdensome,,
G4814,G," to talk together, i.e. converse",from G4862 (σύν) and G2980 (λαλέω);,syllaléō,συλλαλέω,"commune (confer, talk) with, speak among",,
G4277,G," to say already, to predict",from G4253 (πρό) and G2036 (ἔπω);,proépō,προέπω,"forewarn, say (speak, tell) before",,
G2504,G," so also the dative case , and accusative case and (or also, even, etc.) I, (to) me",from G2532 (καί) and G1473 (ἐγώ);,kagṓ,κἀγώ,"(and, even, even so, so) I (also, in like wise), both me, me also",,
G1637,G, olive oil,neuter of the same as G1636 (ἐλαία);,élaion,ἔλαιον,oil,,
G3039,G," to winnow, i.e. (by analogy), to triturate","from , the equivalent of (a winnowing fan or basket);",likmáō,λικμάω,grind to powder,,
G4030,G," encirclement of the head, i.e. a helmet",feminine of a compound of G4012 (περί) and G2776 (κεφαλή);,perikephalaía,περικεφαλαία,helmet,,
G1665,G," Elisabet, an Israelitess",of Hebrew origin (H0472);,Elisábet,Ἐλισάβετ,Elisabeth,,
G1699,G, my,"from the oblique cases of G1473 (ἐγώ) (G1698 (ἐμοί), G1700 (ἐμοῦ), G1691 (ἐμέ));",emós,ἐμός,"of me, mine (own), my",,
G3880,G," to receive near, i.e. associate with oneself (in any familiar or intimate act or relation); by analogy, to assume an office; figuratively, to learn",from G3844 (παρά) and G2983 (λαμβάνω);,paralambánō,παραλαμβάνω,"receive, take (unto, with)",,
G5397,G," a garrulous person, i.e. prater",from (to bubble);,phlýaros,φλύαρος,tattler,,
G102,G," unable, i.e. weak (literally or figuratively); passively, impossible",from G1 (Α) (as a negative particle) and G1415 (δυνατός);,adýnatos,ἀδύνατος,"could not do, impossible, impotent, not possible, weak",,
G62,G," unlettered, i.e. illiterate",from G1 (Α) (as negative particle) and G1121 (γράμμα);,agrámmatos,ἀγράμματος,unlearned,,
G117,G, an Athenæan or inhabitant of Athenæ,from G116 (Ἀθῆναι);,Athēnaîos,Ἀθηναῖος,Athenian,,
G763,G," impiety, i.e. (by implication) wickedness",from G765 (ἀσεβής);,asébeia,ἀσέβεια,ungodly(-liness),,
G1880,G," to come up on, i.e. return",from G1909 (ἐπί) and G424 (ἀνέρχομαι);,epanérchomai,ἐπανέρχομαι,"come again, return",,
G129,G," blood, literally (of men or animals), figuratively (the juice of grapes) or specially (the atoning blood of Christ); by implication, bloodshed, also kindred",of uncertain derivation;,haîma,αἷμα,blood,,
G5055,G," to end, i.e. complete, execute, conclude, discharge (a debt)",from G5056 (τέλος);,teléō,τελέω,"accomplish, make an end, expire, fill up, finish, go over, pay, perform",,
G3397,G, a small space of time or degree,masculine or neuter singular of G3398 (μικρός) (as noun);,mikrón,μικρόν,a (little) (while),,
G98,G, Adramyttene or belonging to Adramyttium,from (a place in Asia Minor);,Adramyttēnós,Ἀδραμυττηνός,of Adramyttium,,
G1186,G, a tree,probably from (an oak);,déndron,δένδρον,tree,,
G3043,G," flax, i.e. (by implication) ""linen""",probably a primary word;,línon,λίνον,linen,,
G3809,G," tutorage, i.e. education or training; by implication, disciplinary correction",from G3811 (παιδεύω);,paideía,παιδεία,"chastening, chastisement, instruction, nurture",,
G3700,G," to gaze (i.e. with wide-open eyes, as at something remarkable; and thus differing from G991 (βλέπω), which denotes simply voluntary observation; and from G1492 (εἴδω), which expresses merely mechanical, passive or casual vision; while G2300 (θεάομαι), and still more emphatically its intensive G2334 (θεωρέω), signifies an earnest but more continued inspection; and G4648 (σκοπέω) a watching from a distance)",a (middle voice) prolonged form of the primary (middle voice) ; which is used for it in certain tenses; and both as alternate of G3708 (ὁράω);,optánomai,ὀπτάνομαι,"appear, look, see, shew self",,
G85,G, to be in distress (of mind),from a derivative of (to be sated to loathing);,adēmonéō,ἀδημονέω,"be full of heaviness, be very heavy",,
G4516,G," strength; Roma, the capital of Italy",from the base of G4517 (ῥώννυμι);,Rhṓmē,Ῥώμη,Rome,,
G4711,G, a hamper or lunch-receptacle,from G4687 (σπείρω) (as woven);,spyrís,σπυρίς,basket,,
G2956,G," i.e. Cyrenæan, i.e. inhabitant of Cyrene",from G2957 (Κυρήνη);,Kyrēnaîos,Κυρηναῖος,"of Cyrene, Cyrenian",,
G3644,G," a ruiner, i.e. (specially), a venomous serpent",from G3645 (ὀλοθρεύω);,olothreutḗs,ὀλοθρευτής,destroyer,,
G1176,G, ten,a primary number;,déka,δέκα,"(eight-)een, ten",,
G1595,G, voluntariness,neuter of a derivative from G1635 (ἑκών);,hekoúsion,ἑκούσιον,willingly,,
G2328,G, to heat (oneself),from G2329 (θέρμη);,thermaínō,θερμαίνω,"(be) warm(-ed, self)",,
G5509,G, a tunic or shirt,of foreign origin (H03801);,chitṓn,χιτών,"clothes, coat, garment",,
G4719,G, a head of grain (as standing out from the stalk),from the base of G2476 (ἵστημι);,stáchys,στάχυς,ear (of corn),,
G345,G, to recline (as a corpse or at a meal),from G303 (ἀνά) and G2749 (κεῖμαι);,anakeîmai,ἀνακεῖμαι,"guest, lean, lie, sit (down, at meat), at the table",,
G4169,G," individualizing interrogative (of character) what sort of, or (of number) which one",from the base of G4226 (ποῦ) and G3634 (οἷος);,poîos,ποῖος,"what (manner of), which",,
G2896,G," properly, to ""croak"" (as a raven) or scream, i.e. (genitive case) to call aloud (shriek, exclaim, intreat)",a primary verb;,krázō,κράζω,cry (out),,
G669,G," to enunciate plainly, i.e. declare",from G575 (ἀπό) and G5350 (φθέγγομαι);,apophthéngomai,ἀποφθέγγομαι,"say, speak forth, utterance",,
G2771,G, gain (pecuniary or genitive case),of uncertain affinity;,kérdos,κέρδος,"gain, lucre",,
G1946,G, an Epicurean or follower of Epicurus,from (compare G1947 (ἐπικουρία)) (a noted philosopher);,Epikoúreios,Ἐπικούρειος,Epicurean,,
G3966,G," a progenitor (""patriarch"")",from G3965 (πατριά) and G757 (ἄρχω);,patriárchēs,πατριάρχης,patriarch,,
G150,G," shameful, i.e. base (specially, venal)",from the same as G153 (αἰσχύνομαι);,aischrós,αἰσχρός,filthy,,
G422,G," not ashamed, i.e. irreprehensible: ",from G1 (Α) (as a negative particle) and a presumed derivative of a compound of G1909 (ἐπί) and G153 (αἰσχύνομαι);,anepaíschyntos,ἀνεπαίσχυντος,--that needeth not to be ashamed,,
G1961,G," to stay over, i.e. remain (figuratively, persevere)",from G1909 (ἐπί) and G3306 (μένω);,epiménō,ἐπιμένω,"abide (in), continue (in), tarry",,
G2368,G," an aroma, i.e. fragrant powder burnt in religious service; by implication, the burning itself",from G2370 (θυμιάω);,thymíama,θυμίαμα,"incense, odour",,
G1969,G," to chastise, i.e. (with words) to upbraid",from G1909 (ἐπί) and G4141 (πλήσσω);,epiplḗssō,ἐπιπλήσσω,rebuke,,
G3405,G, requital (good or bad),from G3406 (μισθαποδότης);,misthapodosía,μισθαποδοσία,recompence of reward,,
G780,G, with pleasure,adverb from a derivative of the base of G2237 (ἡδονή);,asménōs,ἀσμένως,gladly,,
G4479,G," Rebecca (i.e. Ribkah), the wife of Isaac",of Hebrew origin (H07259);,Rhebékka,Ῥεβέκκα,Rebecca,,
G4225,G," as adverb of place, somewhere, i.e. nearly",genitive case of an indefinite pronoun (some) otherwise obsolete (compare G4214 (πόσος));,poú,πού,"about, a certain place",,
G59,G," properly, to go to market, i.e. (by implication) to purchase; specially, to redeem",from G58 (ἀγορά);,agorázō,ἀγοράζω,"buy, redeem",,
G2756,G, empty (literally or figuratively),apparently a primary word;,kenós,κενός,"empty, (in) vain",,
G1257,G," to leave off in the middle, i.e. intermit",from G1223 (διά) and G3007 (λείπω);,dialeípō,διαλείπω,cease,,
G3097,G," a Magian, i.e. Oriental scientist; by implication, a magician",of foreign origin (H07248);,mágos,μάγος,"sorcerer, wise man",,
G1410,G, to be able or possible,of uncertain affinity;,dýnamai,δύναμαι,"be able, can (do, + -not), could, may, might, be possible, be of power",,
G1419,G, oppressive,from G1418 (δυσ-) and a derivative of G941 (βαστάζω);,dysbástaktos,δυσβάστακτος,grievous to be borne,,
G391,G, behavior,from G390 (ἀναστρέφω);,anastrophḗ,ἀναστροφή,conversation,,
G2228,G," disjunctive, or; comparative, than",a primary particle of distinction between two connected terms;,ḗ,ἤ,"and, but (either), (n-)either, except it be, (n-)or (else), rather, save, than, that, what, yea",,
G3041,G, a pond (large or small),probably from G3040 (λιμήν) (through the idea of nearness of shore);,límnē,λίμνη,lake,,
G4255,G," to choose for oneself before another thing (prefer), i.e. (by implication) to propose (intend)",from G4253 (πρό) and G138 (αἱρέομαι);,proairéomai,προαιρέομαι,purpose,,
G5277,G," to leave behind, i.e. bequeath",a prolonged form for G5275 (ὑπολείπω);,hypolimpánō,ὑπολιμπάνω,leave,,
G5198,G," to have sound health, i.e. be well (in body); figuratively, to be uncorrupt (true in doctrine)",from G5199 (ὑγιής);,hygiaínō,ὑγιαίνω,"be in health, (be safe and) sound, (be) whole(-some)",,
G2418,G," to be a temple-worker, i.e. officiate as a priest (figuratively)",from a compound of G2411 (ἱερόν) and the base of G2041 (ἔργον);,hierourgéō,ἱερουργέω,minister,,
G1304,G," to wear through (time), i.e. remain",from G1223 (διά) and the base of G5147 (τρίβος);,diatríbō,διατρίβω,"abide, be, continue, tarry",,
G3799,G," properly, sight (the act), i.e. (by implication) the visage, an external show",from G3700 (ὀπτάνομαι);,ópsis,ὄψις,"appearance, countenance, face",,
G549,G, to go away,from G575 (ἀπό) and (to go);,ápeimi,ἄπειμι,go,,
G637,G, to rinse off,from G575 (ἀπό) and G4150 (πλύνω);,apoplýnō,ἀποπλύνω,wash,,
G2079,G," finally, i.e. (with G2192 (ἔχω)) at the extremity of life",adverb from G2078 (ἔσχατος);,eschátōs,ἐσχάτως,point of death,,
G1299,G," to arrange thoroughly, i.e. (specially) institute, prescribe, etc.",from G1223 (διά) and G5021 (τάσσω);,diatássō,διατάσσω,"appoint, command, give, (set in) order, ordain",,
G1178,G," ten and five, i.e. fifteen",from G1176 (δέκα) and G4002 (πέντε);,dekapénte,δεκαπέντε,fifteen,,
G4140,G," a filling up, i.e. (figuratively) gratification",from a presumed derivative of G4130 (πλήθω);,plēsmonḗ,πλησμονή,satisfying,,
G2838,G," sleeping, i.e. (by implication) repose",from G2837 (κοιμάω);,koímēsis,κοίμησις,taking of rest,,
G1832,G," so also neuter present participle of the same (with or without some form of G1510 (εἰμί) expressed); impersonally, it is right (through the figurative idea of being out in public)",third person singular present indicative of a compound of G1537 (ἐκ) and G1510 (εἰμί);,éxesti,ἔξεστι,"be lawful, let, X may(-est)",,
G3916,G," at the thing itself, i.e. instantly",from G3844 (παρά) and G5536 (χρῆμα) (in its original sense);,parachrēma,παραχρῆμα,"forthwith, immediately, presently, straightway, soon",,
G5236,G," a throwing beyond others, i.e. (figuratively) supereminence; adverbially (with G1519 (εἰς) or G2596 (κατά)) pre- eminently",from G5235 (ὑπερβάλλω);,hyperbolḗ,ὑπερβολή,"abundance, (far more) exceeding, excellency, more excellent, beyond (out of) measure",,
G5516,G, 666 as a numeral,"the 22nd, 14th and an obsolete letter (G4742 (στίγμα) as a cross) of the Greek alphabet (intermediate between the 5th and 6th), used as numbers; denoting respectively 600, 60 and 6;",chx stigma,χξϛ,six hundred threescore and six,,
G3684,G," belonging to a ass, i.e. large (so as to be turned by a ass)",from G3688 (ὄνος);,onikós,ὀνικός,millstone,,
G1570,G," put out, i.e. exposed to perish",from G1537 (ἐκ) and a derivative of G5087 (τίθημι);,ékthetos,ἔκθετος,cast out,,
G1638,G," an olive-orchard, i.e. (specially) the Mount of Olives",from G1636 (ἐλαία);,elaiṓn,ἐλαιών,Olivet,,
G5114,G," more comprehensive or decisive than G2875 (κόπτω), as if by a single stroke; whereas that implies repeated blows, like hacking); more keen",comparative of a derivative of the primary (to cut;,tomṓteros,τομώτερος,sharper,,
G879,G," properly, to become awake, i.e. (by implication) to drop (off) in slumber",from a compound of G575 (ἀπό) and G5258 (ὕπνος);,aphypnóō,ἀφυπνόω,fall asleep,,
G5013,G," to depress; figuratively, to humiliate (in condition or heart)",from G5011 (ταπεινός);,tapeinóō,ταπεινόω,"abase, bring low, humble (self)",,
G1656,G," compassion (human or divine, especially active)",of uncertain affinity;,éleos,ἔλεος,(+ tender) mercy,,
G123,G, a beach (on which the waves dash),from (to rush) and G251 (ἅλς) (in the sense of the sea;,aigialós,αἰγιαλός,shore,,
G2571,G," a cover, i.e. veil",from G2572 (καλύπτω);,kályma,κάλυμα,vail,,
G2786,G," the Rock; Cephas (i.e. Kepha), a surname of Peter",of Chaldee origin (compare H03710);,Kēphâs,Κηφᾶς,Cephas,,
G2122,G, opportunely,adverb from G2121 (εὔκαιρος);,eukaírōs,εὐκαίρως,"conveniently, in season",,
G4807,G, a sycamore-fig tree,of Hebrew origin (H08256) in imitation of G4809 (συκομωραία);,sykáminos,συκάμινος,sycamine tree,,
G4375,G," friendly towards, i.e. acceptable",from a presumed compound of G4314 (πρός) and G5368 (φιλέω);,prosphilḗs,προσφιλής,lovely,,
G1985,G," a superintendent, i.e. Christian officer in genitive case charge of a (or the) church (literally or figuratively)",from G1909 (ἐπί) and G4649 (σκοπός) (in the sense of G1983 (ἐπισκοπέω));,epískopos,ἐπίσκοπος,"bishop, overseer",,
G466,G, to supplement,from G473 (ἀντί) and G378 (ἀναπληρόω);,antanaplēróō,ἀνταναπληρόω,fill up,,
G3591,G," a mass (as bending or bulging by its load), i.e. burden (hindrance)",probably from the same as G43 (ἀγκάλη);,ónkos,ὄγκος,weight,,
G311,G, a putting off,from G306 (ἀναβάλλομαι);,anabolḗ,ἀναβολή,delay,,
G1998,G, to hasten together upon one place (or a particular occasion),from G1909 (ἐπί) and G4936 (συντρέχω);,episyntréchō,ἐπισυντρέχω,come running together,,
G1807,G," actively, to tear out; middle voice, to select; figuratively, to release",from G1537 (ἐκ) and G138 (αἱρέομαι);,exairéō,ἐξαιρέω,"deliver, pluck out, rescue",,
G1789,G, (figuratively) to educate,from G1722 (ἐν) and G5142 (τρέφω);,entréphō,ἐντρέφω,nourish up in,,
G355,G," properly, to use up, i.e. destroy",from G303 (ἀνά) and a form of the alternate of G138 (αἱρέομαι);,analískō,ἀναλίσκω,consume,,
G1414,G, to be efficient (figuratively),from G1415 (δυνατός);,dynatéō,δυνατέω,be mighty,,
G5141,G," to ""tremble"" or fear","strengthened from a primary (to ""dread"", ""terrify"");",trémō,τρέμω,"be afraid, trembling",,
G3384,G," a ""mother"" (literally or figuratively, immediate or remote)",apparently a primary word;,mḗtēr,μήτηρ,mother,,
G5419,G," to indicate (by word or act), i.e. (specially), to expound",probably akin to G5420 (φράσσω) through the idea of defining;,phrázō,φράζω, declare,,
G3390,G," a mother city, i.e. ""metropolis""",from G3384 (μήτηρ) and G4172 (πόλις);,mētrópolis,μητρόπολις,chiefest city,,
G5195,G," to exercise violence, i.e. abuse",from G5196 (ὕβρις);,hybrízō,ὑβρίζω,"use despitefully, reproach, entreat shamefully (spitefully)",,
G5247,G," prominence, i.e. (figuratively) superiority (in rank or character)",from G5242 (ὑπερέχω);,hyperochḗ,ὑπεροχή,"authority, excellency",,
G145,G," properly, an organ of perception, i.e. (figuratively) judgment",from a derivative of G143 (αἰσθάνομαι);,aisthētḗrion,αἰσθητήριον,senses,,
G5558,G," to gild, i.e. bespangle with golden ornaments",from G5557 (χρυσός);,chrysóō,χρυσόω,deck,,
G5310,G," highest, i.e. (masculine singular) the Supreme (God), or (neuter plural) the heavens",superlative from the base of G5311 (ὕψος);,hýpsistos,ὕψιστος,"most high, highest",,
G5542,G," fair speech, i.e. plausibility",from a compound of G5543 (χρηστός) and G3004 (λέγω);,chrēstología,χρηστολογία,good words,,
G688,G," Arabia, a region of Asia",of Hebrew origin (H06152);,Arabía,Ἀραβία,Arabia,,
G4522,G," a ""seine"" for fishing","from a derivative of (to equip) meaning furniture, especially a pack-saddle (which in the East is merely a bag of netted rope);",sagḗnē,σαγήνη,net,,
G577,G," to throw off; figuratively, to lose",from G575 (ἀπό) and G906 (βάλλω);,apobállō,ἀποβάλλω,cast away,,
G5201,G," a water-jar, i.e. receptacle for family supply",from G5204 (ὕδωρ);,hydría,ὑδρία,water-pot,,
G497,G," (figuratively) to attack, i.e. (by implication) destroy",from G473 (ἀντί) and G4754 (στρατεύομαι);,antistrateúomai,ἀντιστρατεύομαι,war against,,
G588,G," to take fully, i.e. welcome (persons), approve (things)",from G575 (ἀπό) and G1209 (δέχομαι);,apodéchomai,ἀποδέχομαι,"accept, receive (gladly)",,
G4694,G, a ledge or reef of rock in the sea,of uncertain derivation;,spilás,σπιλάς,spot (by confusion with G4696 (σπίλος)),,
G906,G," to throw (in various applications, more or less violent or intense)",a primary verb;,bállō,βάλλω,"arise, cast (out), X dung, lay, lie, pour, put (up), send, strike, throw (down), thrust",,
G4048,G," to tear all around, i.e. completely away",from G4012 (περί) and G4486 (ῥήγνυμι);,perirrhḗgnymi,περιῤῥήγνυμι,rend off,,
G2915,G, barley,of uncertain derivation;,krithḗ,κριθή,barley,,
G1786,G, a resident,from G1722 (ἐν) and G5117 (τόπος);,entópios,ἐντόπιος,of that place,,
G5507,G, a thousand,plural of uncertain affinity;,chílioi,χίλιοι,thousand,,
G4546,G," Sampson (i.e. Shimshon), an Israelite",of Hebrew origin (H08123);,Sampsṓn,Σαμψών,Samson,,
G1242,G," properly, a disposition, i.e. (specially) a contract (especially a devisory will)",from G1303 (διατίθεμαι);,diathḗkē,διαθήκη,"covenant, testament",,
G3598,G," a road; by implication, a progress (the route, act or distance); figuratively, a mode or means",apparently a primary word;,hodós,ὁδός,"journey, (high-)way",,
G4264,G," to force forward, i.e. bring to the front, instigate",from G4253 (πρό) and a reduplicated form of G971 (βιάζω);,probibázō,προβιβάζω,"draw, before instruct",,
G1366,G, double-edged,from G1364 (δίς) and G4750 (στόμα);,dístomos,δίστομος,"with two edges, two-edged",,
G4240,G," mildness, i.e. (by implication) humility",from G4239 (πραΰς);,praÿtēs,πραΰτης,meekness,,
G3137,G," Maria or Mariam (i.e. Mirjam), the name of six Christian females",of Hebrew origin (H04813);,María,Μαρία, Mary,,
G2159,G," in a well-strung manner, i.e. (figuratively) intensely (in a good sense, cogently; in a bad one, fiercely)",adverb from a compound of G2095 (εὖ) and a derivative of (to stretch);,eutónōs,εὐτόνως,"mightily, vehemently",,
G1596,G, voluntarily,adverb from the same as G1595 (ἑκούσιον);,hekousíōs,ἑκουσίως,"wilfully, willingly",,
G2285,G," stupefaction (by surprise), i.e. astonishment",akin to an obsolete (to dumbfound);,thámbos,θάμβος,"X amazed, + astonished, wonder",,
G348,G," to beat back, i.e. check",from G303 (ἀνά) and G2875 (κόπτω);,anakóptō,ἀνακόπτω,hinder,,
G1616,G, intentness,from G1618 (ἐκτενής);,ekténeia,ἐκτένεια,X instantly,,
G3477,G," Nangæ (i.e. perhaps Nogach), an Israelite",probably of Hebrew origin (compare H05052);,Nangaí,Ναγγαί,Nagge,,
G596,G," a repository, i.e. granary",from G659 (ἀποτίθημι);,apothḗkē,ἀποθήκη,"barn, garner",,
G4180,G," loquacity, i.e. prolixity",from a compound of G4183 (πολύς) and G3056 (λόγος);,polylogía,πολυλογία,much speaking,,
G1423,G, impracticably,adverb from G1422 (δύσκολος);,dyskólōs,δυσκόλως,hardly,,
G2864,G," the hair of the head (locks, as ornamental, and thus differing from G2359 (θρίξ); which properly denotes merely the scalp)",apparently from the same as G2865 (κομίζω);,kómē,κόμη,hair,,
G2297,G," wondrous, i.e. (neuter as noun) a miracle",from G2295 (θαῦμα);,thaumásios,θαυμάσιος,wonderful thing,,
G4043,G," to tread all around, i.e. walk at large (especially as proof of ability); figuratively, to live, deport oneself, follow (as a companion or votary)",from G4012 (περί) and G3961 (πατέω);,peripatéō,περιπατέω,"go, be occupied with, walk (about)",,
G1830,G, to explore (figuratively),from G1537 (ἐκ) and G2045 (ἐρευνάω);,exereunáō,ἐξερευνάω,search diligently,,
G3410,G, a rented building,from G3409 (μισθόω);,místhōma,μίσθωμα,hired house,,
G2347,G, pressure (literally or figuratively),from G2346 (θλίβω);,thlîpsis,θλῖψις,"afflicted(-tion), anguish, burdened, persecution, tribulation, trouble",,
G3136,G," Martha, a Christian woman",probably of Chaldee origin (meaning mistress);,Mártha,Μάρθα,Martha,,
G1944,G," imprecated, i.e. execrable",from G1909 (ἐπί) and a derivative of G2672 (καταράομαι);,epikatáratos,ἐπικατάρατος,accursed,,
G4715,G," a stander (standard of value), i.e. (specially), a stater or certain coin",from the base of G2746 (καύχησις);,statḗr,στατήρ,piece of money,,
G2244,G, maturity (in years or size),from the same as G2245 (ἡλίκος);,hēlikía,ἡλικία,"age, stature",,
G4004,G, fifty,multiplicative of G4002 (πέντε);,pentḗkonta,πεντήκοντα,fifty,,
G3790,G," the eye-""brow"" or forehead, i.e. (figuratively) the brink of a precipice",perhaps from G3700 (ὀπτάνομαι) (through the idea of the shading or proximity to the organ of vision);,ophrŷs,ὀφρῦς,brow,,
G373,G," (reflexively) to repose (literally or figuratively (be exempt), remain); by implication, to refresh",from G303 (ἀνά) and G3973 (παύω);,anapaúō,ἀναπαύω,"take ease, refresh, (give, take) rest",,
G3495,G, a youth (under forty),from the same as G3494 (νεανίας);,neanískos,νεανίσκος,young man,,
G2340,G," to hunt (an animal), i.e. (figuratively) to carp at",from G2339 (θήρα);,thēreúō,θηρεύω,catch,,
G3519,G, an islet,diminutive of G3520 (νῆσος);,nēsíon,νησίον,island,,
G5001,G," something orderly in arrangement (a troop), i.e. (figuratively) a series or succession",from G5021 (τάσσω);,tágma,τάγμα,order,,
G4217,G," interrogatively, whatever, i.e. of what possible sort",apparently from G4219 (πότε) and the base of G4226 (ποῦ);,potapós,ποταπός,what (manner of),,
G2361,G, a clot,perhaps from G5142 (τρέφω) (in the sense of thickening);,thrómbos,θρόμβος,great drop,,
G2562,G," a stalk of grain, i.e. (collectively) stubble",feminine of G2563 (κάλαμος);,kalámē,καλάμη,stubble,,
G3077,G, sadness,apparently a primary word;,lýpē,λύπη,"grief, grievous, + grudgingly, heaviness, sorrow",,
G4523,G," a Sadducæan (i.e. Tsadokian), or follower of a certain heretical Israelite",probably from G4524 (Σαδώκ);,Saddoukaîos,Σαδδουκαῖος,Sadducee,,
G4379,G," to impinge, i.e. lay a finger on (in order to relieve)",from G4314 (πρός) and (to touch);,prospsaúō,προσψαύω,touch,,
G2942,G," helmsman, i.e. (by implication) captain",from the same as G2941 (κυβέρνησις);,kybernḗtēs,κυβερνήτης,(ship) master,,
G3980,G," to be persuaded by a ruler, i.e. (genitive case) to submit to authority; by analogy, to conform to advice",from a compound of G3982 (πείθω) and G757 (ἄρχω);,peitharchéō,πειθαρχέω,"hearken, obey (magistrates)",,
G3492,G," a boatman, i.e. seaman",from G3491 (ναῦς);,naútēs,ναύτης,"sailor, shipman",,
G2702,G," to bear down, i.e. (figuratively) overcome (with drowsiness); specially, to cast a vote",from G2596 (κατά) and G5342 (φέρω) (including its alternate);,kataphérō,καταφέρω,"fall, give, sink down",,
G4760,G," a camping-ground, i.e. (by implication) a body of troops",from the base of G4756 (στρατιά) and the same as G3977 (πεδινός);,stratópedon,στρατόπεδον,army,,
G4389,G," to turn forward for oneself, i.e. encourage",middle voice from G4253 (πρό) and the base of G5157 (τροπή);,protrépomai,προτρέπομαι,exhort,,
G2555,G," a bad-doer; (specially), a criminal",from G2556 (κακός) and G4160 (ποιέω);,kakopoiós,κακοποιός,"evil-doer, malefactor",,
G74,G," a struggle (properly, the state), i.e. (figuratively) anguish",from G73 (ἀγών);,agōnía,ἀγωνία,agony,,
G1436,G," properly, let it be, i.e. (as interjection) aha!",apparent imperative of G1439 (ἐάω);,éa,ἔα,let alone,,
G1269,G, to nod (or express by signs) across an intervening space,from G1223 (διά) and G3506 (νεύω);,dianeúō,διανεύω,beckon,,
G2104,G," well born, i.e. (literally) high in rank, or (figuratively) generous",from G2095 (εὖ) and G1096 (γίνομαι);,eugenḗs,εὐγενής,"more noble, nobleman",,
G4852,G," to say jointly, i.e. assent to",from G4862 (σύν) and G5346 (φημί);,sýmphēmi,σύμφημι,consent unto,,
G2999,G," ministration of God, i.e. worship",from G3000 (λατρεύω);,latreía,λατρεία,(divine) service,,
G3973,G," to stop (transitively or intransitively), i.e. restrain, quit, desist, come to an end","a primary verb (""pause"");",paúō,παύω,"cease, leave, refrain",,
G536,G," a beginning of sacrifice, i.e. the (Jewish) first-fruit (figuratively)",from a compound of G575 (ἀπό) and G756 (ἄρχομαι);,aparchḗ,ἀπαρχή,first-fruits,,
G3645,G," to spoil, i.e. slay",from G3639 (ὄλεθρος);,olothreúō,ὀλοθρεύω,destroy,,
G1929,G, to give over (by hand or surrender),from G1909 (ἐπί) and G1325 (δίδωμι);,epidídōmi,ἐπιδίδωμι,"deliver unto, give, let (+ (her drive)), offer",,
G2191,G, an adder or other poisonous snake (literally or figuratively),of uncertain origin;,échidna,ἔχιδνα,viper,,
G3142,G," something evidential, i.e. (genitive case) evidence given or (specially), the Decalogue (in the sacred Tabernacle)",neuter of a presumed derivative of G3144 (μάρτυς);,martýrion,μαρτύριον,"to be testified, testimony, witness",,
G2588,G," the heart, i.e. (figuratively) the thoughts or feelings (mind); also (by analogy) the middle","prolonged from a primary (Latin cor, ""heart"");",kardía,καρδία,(+ broken-)heart(-ed),,
G4614,G," Sina (i.e. Sinai), a mountain in Arabia",of Hebrew origin (H05514);,Sinâ,Σινᾶ,Sina,,
G2020,G, to begin to grow light,a form of G2017 (ἐπιφαύω);,epiphṓskō,ἐπιφώσκω,"begin to dawn, X draw on",,
G4018,G," something thrown around one, i.e. a mantle, veil",neuter of a presumed derivative of G4016 (περιβάλλω);,peribólaion,περιβόλαιον,"covering, vesture",,
G5559,G," the body (properly, its surface or skin)",probably akin to the base of G5530 (χράομαι) through the idea of handling;,chrṓs,χρώς,body,,
G82,G," hidden, figuratively, indistinct",from G1 (Α) (as a negative particle) and G1212 (δῆλος);,ádēlos,ἄδηλος,"appear not, uncertain",,
G742,G," Arphaxad, a post-diluvian patriarch",of Hebrew origin (H0775);,Arphaxád,Ἀρφαξάδ,Arphaxad,,
G1735,G," (impersonally) it is accepted in, i.e. admitted (possible)",third person singular present of a compound of G1722 (ἐν) and G1209 (δέχομαι);,endéchetai,ἐνδέχεται,can (+ not) be,,
G3486,G," Naum (i.e. Nachum), an Israelite",of Hebrew origin (H05151);,Naoúm,Ναούμ,Naum,,
G1232,G, to tell abroad,from G1123 (γραπτός) and G1107 (γνωρίζω);,diagnōrízō,διαγνωρίζω,make known,,
G4591,G, of uncertain derivation); to indicate,from (a mark;,sēmaínō,σημαίνω,signify,,
G1586,G, to select,middle voice from G1537 (ἐκ) and G3004 (λέγω) (in its primary sense);,eklégomai,ἐκλέγομαι,"make choice, choose (out), chosen",,
G382,G," unnumbered, i.e. without number",from G1 (Α) (as a negative particle) and a derivative of G705 (ἀριθμέω);,anaríthmētos,ἀναρίθμητος,innumerable,,
